Feature,RF_freq,Univ_freq,PLS_freq,detect_rate
52.02,1.0,1.0,0.0,1.0
53.02,1.0,1.0,0.632,1.0
66.02,1.0,1.0,0.0,1.0
65.03,0.947,1.0,0.0,1.0
141.06,0.947,0.0,0.0,0.771
67.05,0.921,0.0,1.0,1.0
145.09,0.895,1.0,0.0,0.422
156.85,0.868,0.0,1.0,0.833
68.05,0.868,0.053,0.0,0.984
69.05,0.842,0.0,1.0,0.995
118.07,0.737,1.0,0.0,0.427
74.09,0.737,0.026,0.0,0.995
55.03,0.711,0.0,1.0,1.0
119.03,0.711,0.026,0.0,0.958
174.87,0.579,1.0,0.0,0.375
79.0,0.5,0.0,1.0,0.969
80.06,0.5,0.026,0.026,0.974
54.04,0.342,0.947,1.0,1.0
78.02,0.263,1.0,0.0,0.984
152.03,0.184,0.974,0.0,0.417
131.08,0.105,0.0,0.0,0.807
167.05,0.079,0.816,0.0,0.401
143.08,0.079,1.0,0.0,0.406
60.07,0.053,0.0,0.0,0.99
133.1,0.026,0.947,0.0,0.453
81.02,0.026,0.0,1.0,0.984
139.04,0.026,1.0,0.0,0.365
51.01,0.026,0.079,0.0,1.0
98.07,0.026,0.079,0.0,0.833
168.93,0.0,0.0,0.0,0.078
245.05,0.0,0.0,0.0,0.0
168.26,0.0,0.0,0.0,0.0
69.3,0.0,0.0,0.0,0.0
168.07,0.0,0.0,0.0,0.224
61.02,0.0,0.0,0.0,0.219
166.05,0.0,0.0,0.0,0.682
165.79,0.0,0.0,0.0,0.005
165.04,0.0,0.0,0.0,0.5
164.9,0.0,0.0,0.0,0.464
164.26,0.0,0.0,0.0,0.0
163.87,0.0,0.0,0.0,0.0
161.01,0.0,0.0,0.0,0.354
160.05,0.0,0.0,0.0,0.005
159.72,0.0,0.0,0.0,0.0
165.39,0.0,0.0,0.0,0.0
180.88,0.0,0.0,0.0,0.698
180.04,0.0,0.0,0.0,0.0
179.05,0.0,0.0,0.0,0.167
178.05,0.0,0.0,0.0,0.234
176.87,0.0,0.0,0.0,0.099
248.93,0.0,0.0,0.0,0.0
173.87,0.0,0.0,0.0,0.052
169.08,0.0,0.0,0.0,0.042
172.82,0.0,0.0,0.0,0.0
172.09,0.0,0.0,0.0,0.0
171.89,0.0,0.0,0.0,0.0
171.64,0.0,0.0,0.0,0.0
171.06,0.0,0.0,0.0,0.104
170.82,0.0,0.0,0.0,0.0
170.11,0.0,0.0,0.0,0.0
169.91,0.0,0.0,0.0,0.0
173.13,0.0,0.0,0.0,0.005
154.66,0.0,0.0,0.0,0.0
154.33,0.0,0.0,0.0,0.0
154.04,0.0,0.0,0.0,0.141
153.02,0.0,0.974,0.0,0.354
152.45,0.0,0.0,0.0,0.0
65.18,0.0,0.0,0.0,0.0
66.21,0.0,0.0,0.0,0.0
159.1,0.0,0.0,0.0,0.302
151.21,0.0,0.0,0.0,0.0
150.94,0.0,0.0,0.0,0.005
150.41,0.0,0.0,0.0,0.0
68.27,0.0,0.0,0.0,0.0
150.04,0.0,0.0,0.0,0.927
149.14,0.0,0.0,0.0,0.026
148.93,0.0,0.0,0.0,0.0
147.99,0.0,0.0,0.0,0.031
67.25,0.0,0.0,0.0,0.0
158.89,0.0,0.0,0.0,0.604
158.52,0.0,0.0,0.0,0.0
158.22,0.0,0.0,0.0,0.016
157.87,0.0,0.0,0.0,0.167
157.78,0.0,0.0,0.0,0.0
157.41,0.0,0.0,0.0,0.0
157.08,0.0,0.0,0.0,0.182
154.85,0.0,0.0,0.0,0.005
156.65,0.0,0.0,0.0,0.021
156.3,0.0,0.0,0.0,0.0
63.0,0.0,0.0,0.0,0.995
156.05,0.0,0.0,0.0,0.021
155.69,0.0,0.0,0.0,0.0
64.03,0.0,0.0,0.0,0.833
155.44,0.0,0.0,0.0,0.0
155.06,0.0,0.0,0.0,0.312
61.98,0.0,0.0,0.0,0.339
248.47,0.0,0.0,0.0,0.0
229.53,0.0,0.0,0.0,0.0
248.76,0.0,0.0,0.0,0.0
229.2,0.0,0.0,0.0,0.0
228.51,0.0,0.0,0.0,0.0
