Tissue,Feature,n_cancer_animals,n_control_animals,cancer_mean,control_mean,log2_fc_plus1_cancer_control,rank_biserial_cancer_control,p_mwu,FDR_BH,cancer_detection_frequency,control_detection_frequency,absolute_detection_frequency_difference,FDR_significant,detection_difference_gt_0_30
Mammary tissue,237.22,19,19,0.0,0.008239692865698091,-0.01183865729097425,-0.21052631578947367,0.03988425495841603,0.10669890429046339,0.0,0.21052631578947367,0.21052631578947367,False,False
Mammary tissue,237.48,19,19,0.0,0.0076377054431903384,-0.01097701332822767,-0.10526315789473684,0.16287071087412586,0.37484215076177496,0.0,0.10526315789473684,0.10526315789473684,False,False
Mammary tissue,239.24,19,19,0.004488563740673266,0.062353096617739655,-0.08080221869177738,-0.6121883656509695,0.0002730118205842933,0.0014483508447946407,0.10526315789473684,0.6842105263157895,0.5789473684210527,True,True
Mammary tissue,239.51,19,19,0.0,0.035002447997979136,-0.04963418000514935,-0.10526315789473684,0.16287071087412586,0.37484215076177496,0.0,0.10526315789473684,0.10526315789473684,False,False
Mammary tissue,240.52,19,19,0.0,0.003101984442581891,-0.004468290865245962,-0.052631578947368474,0.3434510768344097,0.6677030251501256,0.0,0.05263157894736842,0.05263157894736842,False,False
Mammary tissue,243.03,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,243.44,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,244.01,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,244.44,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,244.78,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,245.05,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,245.44,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,246.04,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,246.13,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,246.44,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,246.72,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,246.94,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,247.17,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,247.45,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,247.74,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,247.94,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,248.17,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,248.47,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,248.76,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,248.93,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Mammary tissue,249.96,19,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
