Tissue,Feature,n_cancer_animals,n_control_animals,cancer_mean,control_mean,log2_fc_plus1_cancer_control,rank_biserial_cancer_control,p_mwu,FDR_BH,cancer_detection_frequency,control_detection_frequency,absolute_detection_frequency_difference,FDR_significant,detection_difference_gt_0_30
Liver,106.02,6,4,0.1573178352670219,0.17835026593786274,-0.025983318102858147,-0.5833333333333333,0.17142857142857143,1.0,1.0,1.0,0.0,False,False
Liver,106.18,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,107.07,6,4,0.31661669479089594,0.3775472742367577,-0.06526643314535711,-0.5,0.2571428571428571,1.0,1.0,1.0,0.0,False,False
Liver,107.22,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,108.09,6,4,0.09256923928977079,0.10389923113627342,-0.014883772061682128,-0.41666666666666663,0.35238095238095235,1.0,1.0,1.0,0.0,False,False
Liver,108.94,6,4,0.017119130200162185,0.0045999059122321185,0.017867619917644302,0.41666666666666674,0.35238095238095235,1.0,0.6666666666666666,0.5,0.16666666666666663,False,False
Liver,109.1,6,4,0.25490890910499786,0.351797965042542,-0.10729690149082671,-0.33333333333333337,0.47619047619047616,1.0,1.0,1.0,0.0,False,False
Liver,110.08,6,4,0.03311581109647579,0.015492864074113263,0.0248218859562789,0.0,1.0,1.0,0.3333333333333333,0.5,0.16666666666666669,False,False
Liver,110.33,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,111.02,6,4,0.0023979799179249793,0.0031324851478402,-0.0010567449545566775,-0.04166666666666663,1.0,1.0,0.16666666666666666,0.25,0.08333333333333334,False,False
Liver,112.09,6,4,0.008287455269096985,0.030236886501712405,-0.031069101086401853,-0.33333333333333337,0.47619047619047616,1.0,0.3333333333333333,0.5,0.16666666666666669,False,False
Liver,112.24,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,112.89,6,4,0.38670121713117167,0.3552071010579161,0.033143634393495054,0.25,0.6095238095238095,1.0,1.0,1.0,0.0,False,False
Liver,113.09,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,114.21,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,114.9,6,4,0.17826312872597835,0.1647335203647704,0.016661838464671144,0.25,0.6095238095238095,1.0,1.0,1.0,0.0,False,False
Liver,115.05,6,4,0.4096522913659395,0.4132727673643519,-0.003700591070439553,-0.16666666666666663,0.7619047619047619,1.0,1.0,1.0,0.0,False,False
Liver,116.04,6,4,0.15725402423486276,0.1656428661989349,-0.01042025874191419,-0.25,0.6095238095238095,1.0,1.0,1.0,0.0,False,False
Liver,116.3,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,116.99,6,4,0.1984178445495468,0.08021359577158597,0.14981439938014232,0.5833333333333333,0.17142857142857143,1.0,1.0,0.5,0.5,False,True
Liver,117.07,6,4,0.14063306505345138,0.2761329703474774,-0.1619439029432656,-0.5,0.2571428571428571,1.0,0.8333333333333334,1.0,0.16666666666666663,False,False
Liver,117.38,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,118.07,6,4,0.13869843020546666,0.13758865044449786,0.0014067416171663302,-0.16666666666666663,0.7619047619047619,1.0,1.0,1.0,0.0,False,False
Liver,118.4,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,119.03,6,4,0.26104827554721793,0.3021585082770807,-0.04628156852084163,-0.41666666666666663,0.35238095238095235,1.0,1.0,1.0,0.0,False,False
Liver,119.53,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,119.92,6,4,0.32358661085595947,0.28068443536800214,0.047537567896178586,0.25,0.6095238095238095,1.0,1.0,1.0,0.0,False,False
Liver,120.08,6,4,0.15940979592711188,0.1677073392319187,-0.010288158792690332,-0.33333333333333337,0.47619047619047616,1.0,1.0,1.0,0.0,False,False
